sentence,label
"""Among our cohort, those who underwent STR were significantly older (p < 0.05) and had significantly larger tumors (p < 0.001) than those who had undergone GTR """,1
"""Mix all ingredients together in a bowl.""",1
"""When I was 30, I moved across the country to end a toxic relationship, so the moving part was great as it stretched me in some amazing ways, but it was still hard.""",1
"""Learn to be ok alone. Alone is good. It does not mean you will always be alone.""",1
"""If you do not know it already, learn to fix things and learn to make a few new foods.""",1
"""Try something new and meet people by just saying hello.""",1
"""Practice saying yes, but also practice saying no. Both are important.""",1
""" Eat right.""",1
"""Get some exercise.""",1
"""Chimichurri can be prepared earlier than needed, and refrigerated for 24 hours, if needed.""",1
"""Use to baste meats (chicken or steaks) while grilling or barbecuing.""",1
"""Allow to sit for 5-10 minutes to release all of the flavours into the oil before using.""",1
"""Ideally, let it sit for more than 2 hours, if time allows.""",1
"""Ideally, let it sit for more than 2 hours, if time allows.""",1
"""We don't use it as a marinade, but choose to baste our meats with chimichurri instead.""",1
"""However, you can use it as a marinade if you wish.""",1
"""Also, add a couple of tablespoons over your steak to serve.""",1
"""Get enough sleep.""",1
"""Get a check up with your doctor.""",1
"""Create a safe, beautiful home for yourself, a refuge.""",1
"""There will be times you need it, but it should also be welcoming to others.""",1
"""Start saving for retirement, if you have not already.""",1
"""Have an emergency fund.""",1
"""But have a budget for fun too.""",1
"""Give back to your community in some way.""",1
"""Remember to rest for 30 seconds to 1 minute between sets and adjust the reps and sets based on your fitness level.""",1
"""Hey everyone! I wanted to warmly congratulate each and every one of you on being accepted into VP&S! A quick intro, my name is Mychael Delgardo, the President of the Class of 2023, and I was born and raised in Los Angeles, California. I went to school at Xavier University of Louisiana in New Orleans, where I graduated in May 2019 and matriculated to VP&S as a straight-through applicant. I can probably provide insight into most questions/concerns concerning on-campus living, NY life compared to different parts of the country (West and South), and being involved in multiple different things on campus early and often (student council, research, clubs, volunteering, etc.). """,1
"Sadly, with everything going on concerning COVID-19, Revisit Weekend is being redesigned here (and at basically every other medical school at this point) to be done online. We know that this brings concerns. However, I, the rest of the class of 2023, and the administration here at VP&S are going to do our very best to mitigate and alleviate any concerns that you all have. We are in the process of making sure that our virtual Revisit will be an excellent experience for all who wish to take part. You all will soon be receiving another email within the next week or so from the admissions office with details about Revisit, connecting to students (both admitted and enrolled), and more. """,1
